date,precipitation_mm,rain_mm
2025-10-28,51.4,51.4
2025-10-29,0,0
2025-10-30,0.1,0.1
2025-10-31,0,0
2025-11-01,0.6,0.6
2025-11-02,5.0,5.0
2025-11-03,8.0,8.0
2025-11-04,18.5,18.5
2025-11-05,3.1,3.1
2025-11-06,0.9,0.9
2025-11-07,4.5,4.5
2025-11-08,0.9,0.9
2025-11-09,0.4,0.4
2025-11-10,1.1,1.1
2025-11-11,1.3,1.3
2025-11-12,0.2,0.2
2025-11-13,0.7,0.7
2025-11-14,0,0
2025-11-15,0.2,0.2
2025-11-16,0.7,0.7
2025-11-17,27.5,27.5
2025-11-18,11.5,11.5
2025-11-19,0.7,0.7
2025-11-20,0.3,0.3
2025-11-21,4.8,0
2025-11-22,4.3,0
2025-11-23,3.7,0
2025-11-24,0.6,0
2025-11-25,0,0
2025-11-26,0,0
2025-11-27,0,0
